"first_name","last_name","hire_date"
"Abdulah","Lunn","4/8/1989"
"Venkatesan","McAlpine","3/31/1989"
"Shigeu","Masamoto","8/27/1989"
"Zhonghui","Gyimothy","3/2/1989"
"Masoud","Peroz","9/30/1989"
"Leen","Pappas","11/19/1989"
"Tsuneo","Matzat","1/7/1989"
"Gen","Merey","3/23/1989"
"Yishay","Vanwelkenhuysen","11/17/1989"
"Changho","Matzat","12/6/1989"
"Zissis","Mateescu","11/26/1989"
"Danel","Pardalos","11/7/1989"
"Nakhoon","Bennis","12/1/1989"
"Akeno","Benzaken","3/17/1989"
"Danny","Buchter","2/8/1989"
"Zdislav","Alameldin","8/28/1989"
"Jianhua","Delgrossi","2/6/1989"
"Kiyokazu","Weisert","3/8/1989"
"Alassane","Radivojevic","1/21/1989"
"Maha","Meriste","8/12/1989"
"Udaiprakash","Feldhoffer","9/21/1989"
"Ingemar","Schahn","3/19/1989"
"Badri","Selvestrel","7/4/1989"
"Mihalis","Wegerle","10/6/1989"
"Joydip","Tsukuda","1/13/1989"
"Gadiel","Journel","3/8/1989"
"Mayuko","Bisiani","2/23/1989"
"Magdalena","Billingsley","1/22/1989"
"Aluzio","Egerstedt","4/4/1989"
"Masami","Rullman","2/10/1989"
"Chiradeep","Krupka","1/10/1989"
"Magdalena","Basart","11/12/1989"
"Leaf","Przulj","10/28/1989"
"Saniya","Gladwell","11/19/1989"
"Guadalupe","Kroha","1/2/1989"
"Dayanand","Barinka","7/16/1989"
"Shim","Wallrath","8/28/1989"
"Jackson","Cangellaris","1/13/1989"
"Doowon","Setlzner","5/1/1989"
"Giap","Rijckaert","5/14/1989"
"Siddarth","Oaver","4/10/1989"
"Alenka","Usery","5/15/1989"
"Ramzi","Jiafu","4/6/1989"
"Zhiwei","Cannard","11/19/1989"
"Martial","Rosay","7/25/1989"
"Niranjan","Kusalik","3/25/1989"
"Arumugam","Ulupinar","10/17/1989"
"Pintsang","Shumilov","10/29/1989"
"Aleksander","Peron","4/13/1989"
"Taiji","Chaudhuri","9/30/1989"
"Chanjung","Potthoff","5/10/1989"
"Hidde","Shackell","11/19/1989"
"Tremaine","Quittner","7/30/1989"
"Luigi","Brattka","8/31/1989"
"Niteen","Stille","2/6/1989"
"Chandrasekaran","Benaini","1/3/1989"
"Sreenivas","Aloisi","2/21/1989"
"Mandell","Zschoche","9/13/1989"
"Slavian","Cincotta","12/1/1989"
"Gilbert","Zaiane","2/10/1989"
"Berto","Awdeh","9/3/1989"
"Maia","Strehl","3/18/1989"
"Ramachenga","Lorcy","2/6/1989"
"Nahla","Massonet","2/2/1989"
"Maren","Socorro","9/30/1989"
"Ayonca","Fritzsche","6/9/1989"
"Manohar","Crelier","5/4/1989"
"KayLiang","Lundstrom","7/17/1989"
"Margo","Ballarin","9/7/1989"
"Hugo","Schwartzburd","12/30/1989"
"Xianlong","Isard","7/9/1989"
"Peer","Laventhal","10/4/1989"
"Sham","Ozeri","11/27/1989"
"Yuichiro","Zschoche","3/5/1989"
"Goa","Goldhammer","9/19/1989"
"Weiyi","Gornas","9/24/1989"
"Kokou","Toyoshima","8/3/1989"
"Aiichiro","Smailagic","3/22/1989"
"Tamiya","DuCasse","4/29/1989"
"Keung","Pardalos","6/15/1989"
"Chenxi","Pappas","2/10/1989"
